Word,Count
*,935
the,469
,294
to,241
@param,238
@notice,224
of,214
The,151
address,121
is,96
if,91
a,74
@return,65
/,65
|,60
be,60
@dev,58
contract,52
in,52
for,52
tokens,49
from,47
and,46
this,44
that,40
not,39
token,34
amount,33
_addr,32
will,31
asset,31
an,31
buffer,28
TODO:,28
new,26
_config,25
role,24
Returns,24
Group,24
user,24
has,23
ERC20,23
signature,22
Gets,22
price,22
--->,22
Address,21
fee,20
with,20
TRUE,20
@title,20
Check,20
by,19
units,19
-,19
msg.sender,19
or,19
Constructor,18
are,18
method,18
FALSE,17
otherwise,17
period,17
it,16
//,16
Unexpectedly,16
flag,16
high,16
balance,15
allowed,15
was,15
Throws,15
USD,15
verified,15
time,14
account,14
OR,14
transfer,14
created,14
as,14
Registry,14
can,14
name,13
See,13
given,13
item,13
=,13
sender,12
(in,12
seconds,12
THE,12
digital,12
have,12
_owner,12
current,12
RBACData,12
data,12
functions,12
document,12
Amount,11
seconds),11
successful,11
Converts,11
purchase,11
1,11
added,11
addr,11
ticker,11
on,11
needs,11
function,11
total,11
contracts,10
If,10
Creates,10
which,10
owner,10
addresses,10
Proof,10
_amount,10
count,9
false,9
last,9
changes,9
true/false,9
type,9
claims,9
part,9
Sets,9
0,9
A,9
+,9
enabled,9
rank,9
Asset,9
belongs,9
(see,9
Element,9
_role,9
wallet,8
Deploys,8
number,8
hash,8
_operator,8
following,8
Checks,8
basic,8
AssetToken,8
Whether,8
platform,8
claimer,8
AccessControl,8
Step,8
Sudo,8
Validates,8
OF,8
smallest,8
called,8
IN,8
Adds,8
User,8
available,7
associated,7
Groups,7
\->,7
DS,7
From,7
transaction,7
Contract,7
query,7
match,7
FeeManager,7
control,7
return,7
Period,7
into,7
unit,7
backwards,7
true,7
memory,7
use,7
References,7
This,7
|->,7
DONE,7
per,7
better,7
Converted,7
Random,7
original,7
bitcar,6
ensure,6
around,6
_spender,6
..,6
cycles,6
length,6
enough,6
approval,6
_from,6
Admin,6
///,6
provides,6
duration,6
based,6
execution,6
cost,6
index,6
approved,6
Transfer,6
WAVE,6
roles,6
than,6
Owner,6
_to,6
Agent,6
we,6
\Remove,\,6
used,6
send,6
only,6
`_value`,6
SOFTWARE,6
append,6
compatibility,6
mechanism,6
_value,6
value,6
percentage,6
whitelist,6
claim,6
Validate,6
members,6
Name,6
call,6
bool,6
Software,6
do,6
Reference,6
bytes,5
Whitelist,5
here,5
limits,5
been,5
able,5
case,5
at,5
check,5
_feeName,5
within,5
Component,5
<STEP,5
param,5
possible,5
registry,5
security,5
\"\user\,5
would,5
wei,5
so,5
minimum,5
simplifies,5
authorization,5
access,5
approves,5
\permissions"\\,5
documents,5
